19322;1636;ko;Kovy;1;61;1100 mini H SV
7146;1638;ko;Kovy;1;41;1100 mini H SV
7147;1638;nk;Nápojové kartóny;1;21;1100 normální HV
7148;1638;p;Papír;3;14;1100 normální HV
7149;1638;sb;Barevné sklo;0,5;21;3300 GFA DUO SV
18933;1638;u;Plast;3;14;1100 normální HV
19868;1638;e;Elektrozařízení;1;41;2150 MEVA SV
21829;1638;sc;Čiré sklo;0,5;21;3300 GFA DUO SV
7154;1640;nk;Nápojové kartóny;1;11;1100 normální HV
7155;1640;p;Papír;1;15;1100 normální HV
7156;1640;sb;Barevné sklo;0,5;31;3300 GFA DUO SV
7157;1640;u;Plast;1;15;1100 normální HV
19325;1640;sc;Čiré sklo;0,5;31;3300 GFA DUO SV
19326;1640;ko;Kovy;1;61;1100 mini H SV
19869;1640;e;Elektrozařízení;1;41;2150 MEVA SV
7158;1641;sc;Čiré sklo;0,5;21;3300 GFA DUO SV
7159;1641;nk;Nápojové kartóny;1;21;1100 normální HV
7160;1641;p;Papír;1;14;1100 normální HV
7161;1641;sb;Barevné sklo;0,5;21;3300 GFA DUO SV
17144;1641;u;Plast;1;14;1100 normální HV
19870;1641;e;Elektrozařízení;1;41;2150 MEVA SV
7162;1642;ko;Kovy;1;61;1100 mini H SV
7163;1642;nk;Nápojové kartóny;1;11;240 normální HV
7164;1642;p;Papír;2;13;1100 normální HV
7165;1642;sb;Barevné sklo;0,5;31;3300 GFA DUO SV
18934;1642;u;Plast;2;13;1100 normální HV
19606;1642;sc;Čiré sklo;0,5;31;3300 GFA DUO SV
19871;1642;e;Elektrozařízení;1;41;2150 MEVA SV
7166;1643;nk;Nápojové kartóny;1;21;1100 normální HV
7167;1643;p;Papír;1;13;1100 normální HV
7168;1643;sb;Barevné sklo;1;41;1500 M 1,5 SV
7169;1643;u;Plast;1;13;1100 normální HV
7174;1645;sc;Čiré sklo;0,5;41;3300 GFA DUO SV
7175;1645;ko;Kovy;1;61;1100 mini H SV
7176;1645;nk;Nápojové kartóny;1;21;1100 normální HV
7177;1645;p;Papír;1;14;1100 normální HV
7178;1645;sb;Barevné sklo;0,5;41;3300 GFA DUO SV
18935;1645;u;Plast;1;14;1100 normální HV
19872;1645;e;Elektrozařízení;1;41;2150 MEVA SV
7179;1646;nk;Nápojové kartóny;1;21;1100 normální HV
7180;1646;p;Papír;2;12;1100 normální HV
7181;1646;sb;Barevné sklo;0,5;31;3300 GFA DUO SV
7182;1646;u;Plast;2;12;1100 normální HV
19327;1646;sc;Čiré sklo;0,5;31;3300 GFA DUO SV
19328;1646;ko;Kovy;1;61;1100 mini H SV
19873;1646;e;Elektrozařízení;1;41;2150 MEVA SV
7183;1647;nk;Nápojové kartóny;1;21;1100 normální HV
7184;1647;p;Papír;1;13;1100 normální HV
7185;1647;sb;Barevné sklo;0,5;41;3300 GFA DUO SV
7186;1647;u;Plast;1;14;1100 normální HV
20241;1647;sc;Čiré sklo;0,5;41;3300 GFA DUO SV
20242;1647;ko;Kovy;1;61;1100 mini H SV
7187;1648;nk;Nápojové kartóny;1;21;1100 normální HV
7188;1648;p;Papír;1;13;1100 normální HV
7189;1648;sb;Barevné sklo;0,5;41;3300 GFA DUO SV
7190;1648;u;Plast;1;13;1100 normální HV
19874;1648;e;Elektrozařízení;1;41;2150 MEVA SV
20279;1648;sc;Čiré sklo;0,5;41;3300 GFA DUO SV
20280;1648;ko;Kovy;1;61;1100 mini H SV
7195;1650;sc;Čiré sklo;0,5;41;3300 GFA DUO SV
7196;1650;nk;Nápojové kartóny;1;21;1100 normální HV
7197;1650;p;Papír;1;14;1100 normální HV
7198;1650;sb;Barevné sklo;0,5;41;3300 GFA DUO SV
17145;1650;u;Plast;1;14;1100 normální HV
7199;1651;nk;Nápojové kartóny;1;21;1100 normální HV
7200;1651;p;Papír;2;13;1100 normální HV
7201;1651;sb;Barevné sklo;0,5;41;3300 GFA DUO SV
7202;1651;u;Plast;1;13;1100 normální HV
19353;1651;sc;Čiré sklo;0,5;41;3300 GFA DUO SV
19354;1651;ko;Kovy;1;61;1100 mini H SV
7203;1652;nk;Nápojové kartóny;1;21;1100 normální HV
7204;1652;p;Papír;2;13;1100 normální HV
7205;1652;sb;Barevné sklo;0,5;41;3300 GFA DUO SV
7206;1652;u;Plast;2;14;1100 normální HV
19464;1652;sc;Čiré sklo;0,5;41;3300 GFA DUO SV
19875;1652;e;Elektrozařízení;1;41;2150 MEVA SV
7207;1653;sc;Čiré sklo;0,5;41;3300 GFA DUO SV
7208;1653;nk;Nápojové kartóny;1;21;1100 normální HV
7209;1653;p;Papír;1;13;1100 normální HV
7210;1653;sb;Barevné sklo;0,5;41;3300 GFA DUO SV
17146;1653;u;Plast;1;13;1100 normální HV
19355;1653;ko;Kovy;1;61;1100 mini H SV
19876;1653;e;Elektrozařízení;1;41;2150 MEVA SV
7211;1654;nk;Nápojové kartóny;1;21;1100 normální HV
7212;1654;p;Papír;1;13;1100 normální HV
7213;1654;sb;Barevné sklo;1;41;1500 M 1,5 SV
7214;1654;u;Plast;1;13;1100 normální HV
7215;1655;nk;Nápojové kartóny;1;21;1100 normální HV
7216;1655;p;Papír;1;14;1100 normální HV
7217;1655;sb;Barevné sklo;0,5;41;3300 GFA DUO SV
7218;1655;u;Plast;1;14;1100 normální HV
