"type,""name"",""features_type"",""features_geometry_type"",""features_geometry_coordinates"",""features_properties_objectid"",""features_properties_id"",""features_properties_stationnumber"",""features_properties_stationname"",""features_properties_citydistrictruiancode"",""features_properties_citydistrict"",""features_properties_pristup""";;;;;;;;;;;;;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.09034337500003,40,2531,""0005/ 104"",""PÅªÌ_mÌÁ 1657/1"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.427739590000044,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.398258157000043,41,2533,""0005/ 106"",""U Malvazinky 1934/6"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.102005475000055,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.097071664000055,42,2534,""0005/ 107"",""Na FarkÌÁn€_ III 207/29"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.44812328200004,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.380770528000028,43,2535,""0005/ 108"",""Hillebrantova 1077/2"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.11085596500004,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.10434191600007,44,2536,""0005/ 109"",""€ÎeskÌÁ 1135/5"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.426156185000025,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.373382883000033,45,2538,""0005/ 111"",""Na V€_ne€çku 2905/17"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.10233649600008,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.105638413000065,46,2539,""0005/ 112"",""Na BÅªezince 1247/27"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.425744253000062,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.382595393000031,47,2540,""0005/ 113"",""MrÌÁzovka 1331/2"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.10115800700004,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.070224504000066,48,2541,""0005/ 114"",""Na FarkÌÁn€_ II 233/2"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.423061939000036,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.34465997600006,49,2542,""0005/ 115"",""Erbenova 1146/13"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.10281006000008,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.06884143800005,50,2543,""0005/ 116"",""Nad pomnÌ_kem 387/7"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.42368915700007,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.384406961000025,51,2544,""0005/ 117"",""Hole€çkova 781/131"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.10095854800005,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.06648659100006,52,2546,""0005/ 119"",""U BlaÅ_enky 1871/31"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.573856598000077,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.40214065400005,53,2547,""0005/ 120"",""U MrÌÁzovky 1948/9"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.10419712500004,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.076851212000065,54,2548,""0005/ 121"",""Peroutkova 1425/3"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.584449348000021,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.38192644000003,55,2549,""0005/ 122"",""Houdova 855/40"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.10564635800006,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.03615348800008,56,2550,""0005/ 123"",""U KlavÌ_rky 1311/10"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.577257294000049,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.379914048000046,57,2551,""0005/ 124"",""JeniÅÁovskÌÁ 1173/1"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.10791797300004,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.074521797000045,58,2719,""0004/ 055"",""Na kr€çskÌ© strÌÁni 672/7"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.558415498000045,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.393469776000074,59,2720,""0004/ 056"",""Nad pÌ_skovnou 1689/56"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.11018887600005,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.07475390700006,60,2721,""0004/ 057"",""Nad pÌ_skovnou 1388/89"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.582044561000032,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.39165815900003,61,2722,""0004/ 058"",""Rose€çskÌÁ 1335/37"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.102956549000055,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.07589224000003,62,2723,""0004/ 059"",""PaprskovÌÁ 1386/7"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.569527694000044,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.392518952000046,63,2724,""0004/ 060"",""Antala StaÅÁka 1565/30"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.102509370000064,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.07673205700007,64,2725,""0004/ 061"",""ÅÊtÌ_rova 1158/22"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.575504232000071,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.373126899000056,65,2726,""0004/ 062"",""ÅÊtÌ_rova 536/25"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.105215774000044,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.06733285700005,66,2727,""0004/ 063"",""Hurbanova 1182/32"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.535370593000039,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.371575231000065,67,2728,""0004/ 064"",""ÅÊtÌ_rova 1281/10"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.10248443300003,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.06587635000005,68,2729,""0004/ 065"",""ÅÊtÌ_rova 1418/4"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.574939098000073,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.367718431000071,69,2730,""0004/ 066"",""Pod Kr€çskÌ_m lesem 758/44"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.10781276900008,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.06896940300004,70,2731,""0004/ 067"",""Pod Kr€çskÌ_m lesem 1383/4"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.576413640000055,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.375780405000057,71,2732,""0004/ 068"",""JalodvorskÌÁ 824/1"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.101930965000065,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.077299811000046,72,2733,""0004/ 069"",""LukeÅÁova 1608/38"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.529705192000051,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.403196077000075,73,2734,""0004/ 070"",""€ÎimelickÌÁ 964/15"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.104798120000055,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.06823901300004,74,2735,""0004/ 071"",""V zahradnÌ_ €çtvrti 222/20"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.570316268000056,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.390893651000056,75,2736,""0004/ 072"",""V plÌÁni 585/8"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.104630135000036,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.06087837700005,76,2737,""0004/ 073"",""Na rovinÌÁch 278/46"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.561564178000026,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.39020292400005,77,2738,""0004/ 074"",""MezilesnÌ_ 545/29"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.11004244000003,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.061717918000056,78,2739,""0004/ 075"",""ZÌÁlesÌ_ 557/36"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.554590158000053,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.389302771000075,79,2740,""0004/ 076"",""Na V€_trov€_ 565/8"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.08311430800006,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.06345544800007,80,2741,""0004/ 077"",""JÌ_lovskÌÁ 409/6"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.535069084000042,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.396407698000075,81,2742,""0004/ 078"",""V kÅªovinÌÁch 1540/16"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.09244617000007,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.064467559000036,82,2743,""0004/ 079"",""U hÌÁje 1550/11"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.54675158200007,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.381150045000027,83,2744,""0004/ 080"",""ZapadlÌÁ 261/2"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.09159516100004,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.05898926400005,84,2745,""0004/ 081"",""VlnitÌÁ 401/38"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.564516798000056,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.381077938000033,85,2746,""0004/ 082"",""BranickÌÁ 397/137"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.09291421700004,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.063559025000075,86,2747,""0004/ 083"",""Za mlÌ_nem 1562/25"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.574812430000065,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.383703750000052,87,2748,""0004/ 084"",""BranickÌÁ 65/46"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.10170225400003,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.06385489200005,88,2749,""0004/ 085"",""Å_almanova 1296/5"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.575976525000044,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.387617964000071,89,2750,""0004/ 086"",""Machovcova 1275/16"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.10630392300004,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.06948743100003,90,2751,""0004/ 087"",""N€_m€çickÌÁ 1111/6"",500119,""Praha 4"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.555111301000068,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
